special_terms,model,rank,similarity,clause_key,child_text
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,1,0.7186895608901978,민법_제629조_제2항,임차인이 전항의 규정에 위반한 때에는 임대인은 계약을 해지할 수 있다.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,2,0.7045539617538452,민법_제626조_제2항,임차인이 유익비를 지출한 경우에는 임대인은 임대차종료시에 그 가액의 증가가 현존한 때에 한하여 임차인의 지출한 금액이나 그 증가액을 상환하여야 한다. 이 경우에 법원은 임대인의 청구에 의하여 상당한 상환기간을 허여할 수 있다.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,3,0.7032652497291565,공인중개사법_제25조의3,"1. 「주택임대차보호법」 제3조의6제4항에 따라 확정일자부여기관에 정보제공을 요청할 수 있다는 사항
2. 「국세징수법」 제109조제1항ㆍ제2항 및 「지방세징수법」 제6조제1항ㆍ제3항에 따라 임대인이 납부하지 아니한 국세 및 지방세의 열람을 신청할 수 있다는 사항"
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,4,0.7032538056373596,농지법 시행규칙_제20조의2_제2항,종료 명령을 받은 임차인 또는 사용대차인은 그 종료 명령을 받은 날부터 3개월 이내에 해당 계약을 종료하여야 한다.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,5,0.7023894190788269,상법_제163조_제2항,전항의 경우에 임치물을 반환함에는 2주간전에 예고하여야 한다.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,6,0.7018944621086121,주택임대차보호법_제6조의2_제1항,제6조제1항에 따라 계약이 갱신된 경우 같은 조 제2항에도 불구하고 임차인은 언제든지 임대인에게 계약해지(契約解止)를 통지할 수 있다. <개정 2009.5.8>
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,7,0.7013202905654907,민법_제627조_제2항,전항의 경우에 그 잔존부분으로 임차의 목적을 달성할 수 없는 때에는 임차인은 계약을 해지할 수 있다.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,8,0.7010160684585571,민법_제719조_제3항,탈퇴당시에 완결되지 아니한 사항에 대하여는 완결후에 계산할 수 있다.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,9,0.6989354491233826,민법_제630조_제2항,전항의 규정은 임대인의 임차인에 대한 권리행사에 영향을 미치지 아니한다.
"임차인은 만기일자보다 7일 먼저 퇴실하여야하고, 임대인은 월세+관리비를 포함한 금액에서 일할정산하여 준다.",embed_vertex,10,0.6985810995101929,주택임대차보호법_제6조의2_제2항,제1항에 따른 해지는 임대인이 그 통지를 받은 날부터 3개월이 지나면 그 효력이 발생한다.
